Population,Line,Pot,Photoperiod,Germination Date,Date First Flower,Days to flowering,Node Leaf coll.,Plant Height (mm),Corolla Length (mm),Corolla Width (mm),Longest Stamen Length (mm),Smallest Stamen Length (mm),Pistil Length (mm),Cleistogamy?,Stigma-anther separation,Anther-anther separation,Leaf lobing index,Notes
CECL,10,C,15h,284,310,26,2,37,12.3,4.91,9.19,8.32,9.03,Y,-0.16,0.87,0.1490451423,
CECL,13,B,15h,285,309,24,3,61,11.36,6.16,8.26,7.43,9.75,N,1.49,0.83,0.4073976114,
CECL,13,C,15h,284,310,26,2,65,10.16,5.39,8.13,7.53,9.15,N,1.02,0.6,0.2778446506,
DNK,14,A,15h,286,307,21,2,26,9.93,7.74,8.83,7.75,7.6,N,-1.23,1.08,0.259,
DNK,14,B,15h,284,309,25,1,20,12.71,7.33,8.26,7.15,7.94,N,-0.32,1.11,0.1635370219,
DNK,14,C,15h,286,307,21,2,10,11.03,7.48,8.46,7.41,8.01,N,-0.45,1.05,0.356,
DNK,17,A,15h,286,307,21,2,53,12.17,8.19,8.66,8.05,9.84,N,1.18,0.61,0.234,
DNK,17,B,15h,286,307,21,2,59,16.23,10.21,10.7,9.38,10.51,N,-0.19,1.32,0.303,
DNK,17,C,15h,286,306,20,2,55,13.4,9.12,9.88,8.71,10.6,N,0.72,1.17,0.3031064345,
DNK,21,A,15h,284,307,23,2,11,10.7,7.99,8.92,7.8,7.57,N,-1.35,1.12,0.223,
DNK,21,B,15h,284,306,22,1,21,8.66,6.05,6.19,,6.6,N,0.41,,0.2502090371,
DNK,21,C,15h,284,307,23,2,15,9.96,6.83,7.89,6.44,6.9,N,-0.99,1.45,0.384,
DNK,27,A,15h,287,312,25,2,2,8.39,5.43,7.21,6.39,7.24,N,0.03,0.82,0.2276853601,
DNK,27,B,15h,287,310,23,2,15,10.11,7.14,8.43,7.57,8.24,N,-0.19,0.86,0.2701886378,
DNK,27,C,15h,287,312,25,1,9,8.82,5.32,7.74,6.8,7.24,N,-0.5,0.94,0.2191492321,
DNK,30,A,15h,287,310,23,2,9,9.84,6.35,8.03,6.95,8.3,N,0.27,1.08,0.2076935467,
