Population,Line,Pot,Photoperiod,Germination Date,Date First Flower,Days to flowering,Node Leaf coll.,Plant Height (mm),Corolla Length (mm),Corolla Width (mm),Longest Stamen Length (mm),Smallest Stamen Length (mm),Pistil Length (mm),Cleistogamy?,Stigma-anther separation,Anther-anther separation,Leaf lobing index,Notes
SBL,5,B,15h,284,309,25,2,77,18.15,12.35,10.25,10.09,12.68,N,2.43,0.16,0.134,
SBL,5,C,15h,284,307,23,2,73,15.78,8.38,9.43,8.77,10.92,N,1.49,0.66,0.09534507903,
SBL,6,A,15h,285,308,23,3,48,11.28,5.82,7.74,6.99,8.38,N,0.64,0.75,0.194,
SBL,6,B,15h,285,307,22,2,66,13.34,8.09,9.23,8.11,9.57,N,0.34,1.12,0.1289469334,
SBL,6,C,15h,284,305,21,2,65,11.54,7.78,8.7,7.95,9.03,N,0.33,0.75,0.091,
SBL,7,A,15h,285,307,22,2,65,11.47,7.09,9.37,8.28,9.23,N,-0.14,1.09,0.138796693,
SBL,7,B,15h,284,307,23,2,69,15.11,8.37,9.5,8.23,9.84,N,0.34,1.27,0.119,
SBL,7,C,15h,284,306,22,2,55,12.61,8.2,9.34,8.25,8.26,N,-1.08,1.09,0.094,
SBL,9,A,15h,286,309,23,1,51,11.59,5.36,7.93,6.73,8.67,N,0.74,1.2,0.09437255236,
SHL,1,A,15h,286,311,25,2,89,11.02,11.11,9.5,8.5,10.35,N,0.85,1,0.3860233317,
SHL,1,B,15h,284,308,24,2,47,12.69,9.58,9.23,8.33,8.64,N,-0.59,0.9,0.3034475203,
SHL,1,C,15h,284,311,27,2,57,11.32,8.68,9.23,8.24,9.17,N,-0.06,0.99,0.382779429,
SHL,2,A,15h,285,312,27,1,61,13,,8.92,7.66,10.45,N,1.53,1.26,0.241359447,
SHL,2,B,15h,284,307,23,2,30,15.06,10.74,9.87,8.61,9.81,N,-0.06,1.26,0.317,
SHL,2,C,15h,284,309,25,3,52,12.34,6.54,8.25,7.14,9.6,N,1.35,1.11,0.2864916582,
SHL,3,A,15h,284,305,21,2,34,11.47,8.41,8.86,7.81,9.74,N,0.88,1.05,0.3455817848,
SHL,3,B,15h,284,305,21,2,67,11.25,9.43,8.79,6.57,9.8,N,1.01,2.22,0.2683143808,
SHL,3,C,15h,284,305,21,2,55,13.75,9.51,9.45,8.28,8.91,N,-0.54,1.17,0.2632262474,
SHL,4,A,15h,284,307,23,2,60,10.85,9.81,9.15,8.69,9.47,N,0.32,0.46,0.292,
SHL,4,B,15h,284,306,22,2,69,12.17,10.54,9.9,8.66,10.56,N,0.66,1.24,0.321064873,
SHL,4,C,15h,284,307,23,2,39,13.56,9.08,9.06,7.89,9.18,N,0.12,1.17,0.305,
SHL,5,A,15h,285,310,25,2,5,11.38,7.38,9.04,7.94,9.42,N,0.38,1.1,0.2859630907,
SHL,5,B,15h,285,311,26,2,53,13.34,10.34,9.88,8.49,10.55,N,0.67,1.39,0.3740342973,
SHL,5,C,15h,285,310,25,2,24,11.76,7.36,8.78,7.52,9.57,N,0.79,1.26,0.4007248194,
SHL,6,A,15h,284,307,23,2,45,11.84,5.82,8.9,7.79,9.39,N,0.49,1.11,0.357,
SHL,6,B,15h,284,309,25,1,60,12.27,8.1,8.53,7.66,10.04,N,1.51,0.87,0.1676040062,
SHL,6,C,15h,284,307,23,2,33,9.98,6.72,8.84,7.35,9.59,N,0.75,1.49,0.336,
SHL,9,A,15h,285,313,28,2,1,8.49,3.62,7.02,5.88,7.23,Y,-0.21,1.14,0.2410184862,
SHL,9,B,15h,285,314,29,2,16,11.62,7.48,8.37,7.62,10.03,N,-1.66,0.75,0.2306690021,
SHL,9,C,15h,285,314,29,2,5,12.1,7.48,9,7.56,8.78,N,0.22,1.44,0.1984626327,
SHL,10,A,15h,285,306,21,2,60,12.93,8.14,10.11,8.86,8.94,N,-1.17,1.25,0.3347601829,
SHL,10,B,15h,285,306,21,2,35,11.32,8.91,9.39,7.81,9.25,N,-0.14,1.58,0.2364754878,
SHL,10,C,15h,285,307,22,2,59,11.37,7.58,9.09,7.9,9.43,N,0.34,1.19,0.33,
SHL,12,A,15h,284,310,26,1,36,12.96,7.44,9.23,8.31,10.49,N,1.26,0.92,0.1341546003,
SHL,12,B,15h,284,307,23,2,21,12.02,8.92,8.76,7.74,9.45,N,0.69,1.02,0.301,
SHL,12,C,15h,284,306,22,2,23,11.92,7.65,8.7,7.52,9.29,N,0.59,1.18,0.2485905861,
SHL,38,A,15h,284,310,26,2,70,14.42,10.43,9.72,8.59,10.29,N,0.57,1.13,0.3571471508,
SHL,38,B,15h,284,306,22,2,46,13.45,9.26,9.86,7.94,10.69,N,0.83,1.92,0.2614784463,
SHL,38,C,15h,284,306,22,2,19,12.84,8.8,8.63,7.48,9.27,N,0.64,1.15,0.3080231906,
SNB2,1,A,15h,284,307,23,2,14,11.19,7.29,7.87,7.41,7.92,N,0.05,0.46,0.238,
SNB2,1,B,15h,284,305,21,2,19,12.46,8.15,8.4,7.18,8.83,N,0.43,1.22,0.2675188576,
SNB2,1,C,15h,284,309,25,1,1,10.37,6.28,7.48,6.22,7.65,N,0.17,1.26,0.306507243,
TIGR,28,A,15h,284,304,20,2,47,9.37,6.7,8.15,6.75,8.61,N,0.46,1.4,0.239,
TIGR,28,B,15h,284,302,18,2,60,10.96,7.19,9.04,7.75,7.88,N,-1.16,1.29,0.254,
TIGR,28,C,15h,284,305,21,2,48,10.8,7.27,8.24,7,8.95,N,0.71,1.24,0.1425571016,
TRT,1,A,15h,285,308,23,3,83,8.32,7.95,8.64,6.26,11.12,N,2.48,2.38,0.1626361623,
TRT,1,B,15h,285,307,22,2,65,12.66,7.47,8.73,7.91,9.7,N,0.97,0.82,0.27,
TRT,1,C,15h,284,306,22,2,48,12.34,7.27,8.52,7.23,10.17,N,1.65,1.29,0.1877682772,
TRT,2,A,15h,284,305,21,2,35,10.98,5.57,7.99,7.9,9.16,N,1.17,0.09,0.1118439959,
TRT,2,B,15h,284,309,25,1,79,12.5,6.66,9.06,7.67,8.59,N,-0.47,1.39,0.1332708138,
TRT,2,C,15h,285,305,20,2,27,10.56,8.72,8.09,5.9,7.58,N,-0.51,2.19,0.1054157849,
TRT,3,A,15h,286,310,24,2,34,9.61,6.96,6.97,5.6,7.52,N,0.55,1.37,0.1574797002,
TRT,3,B,15h,286,306,20,2,50,14.63,10.97,10.61,9.54,10.52,N,-0.09,1.07,0.2135950437,
TRT,3,C,15h,288,305,17,2,24,9.61,7.23,7.37,6.53,7.98,N,0.61,0.84,0.1573447754,
TRT,4,A,15h,284,307,23,1,51,12.23,9,9.84,8.73,9.9,N,0.06,1.11,0.16,
TRT,4,B,15h,285,309,24,1,54,14.05,10.52,9.52,8.28,9.39,N,-0.13,1.24,0.3022843102,
TRT,4,C,15h,285,313,28,1,62,11.43,7.75,8.95,8.28,8.89,N,-0.06,0.67,0.255692151,
TRT,6,A,15h,284,308,24,2,46,12.03,7.05,8.66,8,9.33,N,0.67,0.66,0.3067456601,
TRT,6,B,15h,285,308,23,3,67,13.28,8.09,9.38,7.68,8.21,N,-1.17,1.7,0.1313034772,
TRT,6,C,15h,285,307,22,2,57,12.03,7.94,8.44,7.64,8.92,N,0.48,0.8,0.3,
TRT,11,A,15h,286,308,22,1,44,13.05,9.11,10.19,9.22,10.7,N,0.51,0.97,0.2097442095,
TRT,11,B,15h,286,309,23,1,62,15.87,7.61,10.76,9.21,11.04,N,0.28,1.55,0.2389672294,
TRT,11,C,15h,286,309,23,2,50,15.53,8.75,9.74,8.4,9.47,N,-0.27,1.34,0.266579101,
WCL,3,A,15h,284,302,18,2,53,11.09,7.16,9.71,8.15,8.82,N,-0.89,1.56,0.075,
WCL,3,B,15h,284,302,18,2,62,15.63,9.38,8.17,7.59,10.22,N,2.05,0.58,0.126,
WCL,3,C,15h,284,302,18,2,49,12.75,7.04,8.54,7.26,10.03,N,1.49,1.28,0.078,
WCL,8,A,15h,284,302,18,2,49,12.32,9.1,8.98,7.77,10.78,N,1.8,1.21,0.171,
WCL,8,B,15h,284,304,20,2,18,12.97,10.14,8.84,7.74,9.2,N,0.36,1.1,0.177,
WCL,8,C,15h,284,304,20,2,41,11.93,8.02,9.98,7.95,10.63,N,0.65,2.03,0.16,
WCL,9,A,15h,284,302,18,2,68,14.39,9.22,7.41,6.04,10.01,N,2.6,1.37,0.237,
WCL,9,B,15h,284,302,18,2,71,13.29,9.26,10.5,8.55,10.49,N,-0.01,1.95,0.315,
WCL,9,C,15h,284,302,18,2,61,11.79,7.27,9.34,7.32,11.01,N,1.67,2.02,0.233,
WCL,10,A,15h,284,303,19,3,57,15.67,11.87,9.24,7.68,13.54,N,4.3,1.56,0.1827079935,
WCL,10,B,15h,284,304,20,2,42,11.74,8.45,8.74,7.97,10.21,N,1.47,0.77,0.121,
WCL,10,C,15h,284,304,20,2,38,11.78,7.36,8.01,7.23,9.54,N,1.53,0.78,0.163,
WCL,11,B,15h,284,305,21,2,56,14.82,9.26,8.65,7.78,8.74,N,0.09,0.87,0.1353443868,
WCL,11,C,15h,284,304,20,2,68,13.56,11.5,7.76,6.76,9.79,N,2.03,1,0.167,
WCL,13,A,15h,285,306,21,2,66,15.03,11.52,10.11,8.84,10.06,N,-0.05,1.27,0.1169848262,
WCL,13,B,15h,285,306,21,2,82,14.45,9.89,10.11,8.72,9.99,N,-0.12,1.39,0.09770744751,
WCL,13,C,15h,284,306,22,2,105,14.93,13.18,11.68,10.3,11.62,N,-0.06,1.38,0.1233511376,
WLF,47,A,15h,285,306,21,2,44,10.53,7.88,8.15,7.13,8.84,N,0.69,1.02,0.2966849908,
WLF,47,B,15h,285,310,25,2,81,13.1,7.17,8.27,7.66,9.22,N,0.95,0.61,0.368176465,
WLF,47,C,15h,285,306,21,2,46,10.08,7.97,7.65,6.35,9.14,N,1.49,1.3,0.1545124717,
WLF,60,A,15h,286,313,27,2,55,10.97,8.36,9.66,8.13,8.89,N,-0.77,1.53,0.2492924177,
WLF,60,B,15h,286,310,24,2,35,10.54,6.25,8.73,7.43,8.76,N,0.03,1.3,0.1643210108,
WLF,60,C,15h,286,312,26,1,46,12.1,8.2,10.18,8.85,9.77,N,-0.41,1.33,0.139,
WLF,61,A,15h,284,304,20,2,43,15.92,11.94,7.63,7.52,11.23,N,3.6,0.11,0.202,
WLF,61,B,15h,284,304,20,2,71,19.4,12.6,10.88,9.85,11.27,N,0.39,1.03,0.117,
WLF,61,C,15h,284,302,18,2,46,15.25,10.31,9.27,7.81,10.53,N,1.26,1.46,0.3497126288,
WLF,62,A,15h,285,306,21,2,51,16.16,10.38,10.54,9.47,12.96,N,2.42,1.07,0.346,
WLF,62,B,15h,286,307,21,2,25,15.5,10.97,9.88,8.46,10.9,N,1.02,1.42,0.279,
WLF,62,C,15h,285,307,22,2,38,14.39,9.01,9.43,8.06,11.8,N,2.37,1.37,0.4657671531,
WLF,63,A,15h,285,305,20,2,42,15.42,10.14,10.26,9.18,11.7,N,1.44,1.08,0.5507389492,
WLF,63,B,15h,285,306,21,1,51,15.91,9.5,10.12,8.92,12.38,N,2.26,1.2,0.4071634238,
WLF,63,C,15h,285,309,24,2,48,15.01,8.28,8.52,7.66,11.55,N,3.03,0.86,0.3283477448,
WLF,72,A,15h,287,310,23,2,28,13.53,9.51,8.31,7.58,10.07,N,1.76,0.73,0.5583054269,
WLF,72,B,15h,287,309,22,2,50,16.76,9.31,9.05,8.72,11.82,N,2.77,0.33,0.3835201055,
WLF,72,C,15h,287,310,23,2,37,16.57,11.31,10.07,9.2,12.4,N,2.33,0.87,0.5575844242,
WUV,35,A,15h,284,304,20,2,57,15.59,10.75,8.85,7.91,9.74,N,0.89,0.94,0.099,
WUV,35,B,15h,284,306,22,2,71,14.71,9.28,10.68,9.84,8.74,N,-1.94,0.84,0.1492913479,
WUV,35,C,15h,284,305,21,2,75,15.7,8.78,11,10.22,8.78,N,-2.22,0.78,0.1588527461,
YCN,1,A,15h,284,307,23,2,60,12.17,7.49,9.89,8.65,8.45,N,-1.44,1.24,0.225,
YCN,1,B,15h,286,307,21,2,64,12.78,6.97,8.94,8,8.67,N,-0.27,0.94,0.225,
YCN,1,C,15h,288,309,21,3,32,13.09,7.87,8.37,7.18,7.74,N,-0.63,1.19,0.1085746897,
YCN,2,B,15h,284,306,22,2,67,12.12,7.63,10.16,9.33,9.64,N,-0.52,0.83,0.2055752498,
YCN,9,A,15h,285,307,22,2,40,9.96,6.61,8.91,7.43,8.85,N,-0.06,1.48,0.114,
YCN,9,B,15h,285,306,21,2,46,12.11,7.74,8.07,6.85,9.6,N,1.53,1.22,,
YCN,9,C,15h,285,306,21,2,45,11.73,6.17,9.72,8.92,9.31,N,-0.41,0.8,0.2525438407,
YCN,12,A,15h,286,309,23,1,54,13.45,5.53,9.23,8.5,8.77,N,-0.46,0.73,0.2110255907,
YCN,12,B,15h,285,309,24,1,49,15.03,6.96,9.26,7.83,9.82,N,0.56,1.43,0.1617225765,
YCN,12,C,15h,286,309,23,3,30,13.07,5.57,8.21,7.09,9.09,N,0.88,1.12,0.3501139277,
YCN,13,A,15h,286,307,21,2,32,11.24,9.14,8.2,8.2,9.63,N,1.43,0,0.231,
YCN,13,B,15h,286,308,22,2,47,10.13,4.58,8.44,6.23,8.77,Y,0.33,2.21,0.1312174538,
YCN,13,C,15h,286,307,21,1,38,11.42,8.73,9.2,8.24,9.54,N,0.34,0.96,0.169,
BCL,1,B,11h,44,67,23,2,5,8.94,3.86,6.63,6.13,8.07,N,-1.44,0.5,0.4088759452,
BCL,1,C,11h,44,71,27,2,5,9.27,3.02,7.42,6.22,6.52,N,0.9,1.2,0.1520171674,
BCL,2,A,11h,45,,,2,13,,,,,,DNF,,,0.1373896764,
BCL,2,B,11h,45,,,2,9,,,,,,DNF,,,0.1188184096,
BCL,2,C,11h,45,,,2,17,,,,,,DNF,,,0.14334282,
BCL,3,A,11h,44,73,29,2,7,10.22,5.35,7.39,6.04,7.39,N,0,1.35,0.322012305,
BCL,3,B,11h,44,76,32,2,22,12.08,5.41,9.89,8.24,10.66,Y,-0.77,1.65,0.3138999104,
BCL,3,C,11h,44,70,26,2,15,9.38,3.72,7.14,6.04,6.5,N,0.64,1.1,0.3507831148,
BCL,4,A,11h,45,,,2,8,,,,,,DNF,,,0.1031600975,
BCL,4,B,11h,45,,,2,7,,,,,,DNF,,,0.1240299547,
BCL,4,C,11h,44,,,2,9,,,,,,DNF,,,0.1223641634,
BCL,9,A,11h,44,65,21,2,6,10.47,5.79,7.83,6.81,7.61,N,0.22,1.02,0.3180228712,
BCL,9,B,11h,44,65,21,2,2,8.83,3.37,6.9,6.16,6.85,N,0.05,0.74,0.350646911,
BCL,9,C,11h,44,65,21,2,16,10.78,6.93,7.69,6.94,8.02,N,-1.08,0.75,0.3385252173,
BCL,15,A,11h,55,,,2,12,,,,,,DNF,,,0.1120708831,
BCL,15,B,11h,45,,,2,14,,,,,,DNF,,,0.09995818709,
BCL,15,C,11h,45,77,32,2,8,6.55,3.38,3.58,3.32,3.61,Y,-0.03,0.26,0.3350718496,
BML,4,A,11h,44,66,22,2,16,12.06,8.96,8.55,7.68,8.72,N,-0.17,0.87,0.1825114844,
BML,4,B,11h,45,68,23,2,26,10.35,6.75,7.53,6.14,8.58,N,-1.05,1.39,0.1255796178,
BML,4,C,11h,45,69,24,2,3,11.2,6.76,7.92,6.58,7.87,N,0.05,1.34,0.1152447366,
BML,5,A,11h,44,68,24,3,14,10.22,5.81,7.8,7.21,9.8,N,-2,0.59,0.3130337536,
BML,5,B,11h,44,68,24,2,14,8.69,5.18,8.3,7.79,7.96,N,0.34,0.51,0.3482742261,
BML,5,C,11h,44,67,23,2,3,9.96,4.65,7.85,7.12,7.72,N,0.13,0.73,0.1531161473,
BML,6,A,11h,44,69,25,3,23,13.08,7.14,9.12,7.84,9.8,N,-0.68,1.28,0.1528978157,
BML,6,B,11h,44,69,25,3,22,13.81,7.95,9.67,8.42,11.44,N,-1.77,1.25,0.1941756246,
BML,6,C,11h,44,69,25,3,18,13.2,8.26,8.44,7.61,9.65,N,-1.21,0.83,0.2092227556,
BML,7,A,11h,44,70,26,2,9,9.53,5.38,7.72,6.62,10.23,N,-2.51,1.1,0.1884988584,
BML,7,C,11h,44,68,24,2,11,9.81,5.7,8,7.52,9.06,N,-1.06,0.48,0.1629610023,
BML,10,A,11h,44,70,26,2,6,11.44,8.46,8.98,6.39,9.04,N,-0.06,2.59,0.1984293449,
BML,10,B,11h,44,68,24,2,7,15,8.55,9.7,7.44,10.36,N,-0.66,2.26,0.2348795541,
BML,10,C,11h,44,,,2,15,,,,,,DNF,,,0.2580464072,
BML,13,B,11h,44,69,25,2,6,10.64,4.41,9.07,8.19,10.58,Y,-1.51,0.88,0.1207961153,
BML,13,C,11h,44,68,24,2,13,11.33,5.48,7.4,6.49,8.06,N,-0.66,0.91,0.1236670179,
BML,14,A,11h,44,70,26,2,19,12.91,7.46,9.21,8.65,11.59,N,-2.38,0.56,0.2611739961,
BML,14,B,11h,44,69,25,2,18,10.08,7.52,8.15,6.72,8.93,N,-0.78,1.43,0.235108212,
BML,14,C,11h,44,69,25,2,10,13.98,7.39,8.47,6.83,10.11,N,-1.64,1.64,,
BML,16,A,11h,44,3/25,2/9,2,9,6.9,2.01,8.45,5.51,7.52,N,0.93,2.94,0.3246764985,
BML,16,C,11h,44,72,28,2,2,8.85,2.46,8.03,6.89,8.02,Y,0.01,1.14,0.1744558033,
BML,19,A,11h,45,73,28,2,2,8.96,4.46,8.05,6.99,6.68,N,1.37,1.06,0.03337267947,
BML,19,B,11h,46,79,33,2,3,5.67,1.76,5.56,5.23,5.15,Y,0.41,0.33,0.05962614272,
BML,19,C,11h,45,71,26,2,1,9.69,5.4,8.55,7.27,6.3,N,2.25,1.28,0.06860239239,
CECL,5,A,11h,44,,,2,12,,,,,,DNF,,,0.07460622691,
CECL,5,B,11h,44,,,2,9,,,,,,DNF,,,0.08801498127,
CECL,5,C,11h,44,74,30,2,1,7.98,1.92,6.96,6.21,5.95,Y,1.01,0.75,0.1997936604,
CECL,6,A,11h,46,78,32,2,6,8.09,2.06,6.46,5.8,6.51,Y,-0.05,0.66,0.4669575226,
CECL,10,A,11h,44,74,30,2,1,9.03,2.19,8.32,7.15,6.6,N,1.72,1.17,0.1732790176,
CECL,10,B,11h,44,72,28,2,5,9.16,3.92,7.9,6.72,6.75,N,1.15,1.18,0.2465433806,
CECL,10,C,11h,45,73,28,2,1,8.54,2.04,7.76,6.91,6.06,Y,1.7,0.85,0.1409588524,
CECL,13,A,11h,45,,,2,13,,,,,,DNF,,,0.2020553561,
CECL,13,B,11h,45,,,2,13,,,,,,DNF,,,0.09290429393,
CECL,13,C,11h,45,,,2,10,,,,,,DNF,,,0.2155224287,
DNK,14,A,11h,47,,,2,13,,,,,,DNF,,,0.2327673518,
DNK,14,B,11h,45,78,33,2,5,5.84,1.55,5.86,4.93,4.5,Y,1.36,0.93,0.1025695749,
DNK,14,C,11h,45,79,34,2,2,5.28,1.28,5.15,4.73,4.91,Y,0.24,0.42,0.1662358201,
DNK,17,A,11h,47,74,27,2,1,5.89,1.46,5.06,4.56,5.16,Y,-0.1,0.5,0.2766984404,
DNK,17,B,11h,49,,,2,15,,,,,,DNF,,,0.1103961882,
DNK,17,C,11h,47,,,2,10,,,,,,DNF,,,0.2532986846,
DNK,21,A,11h,47,,,2,15,,,,,,DNF,,,0.08107508869,
DNK,21,B,11h,47,,,2,12,,,,,,DNF,,,0.09746527281,
DNK,21,C,11h,46,80,34,2,2,6.86,2.03,6.09,5.42,5.31,Y,0.78,0.67,0.219254201,
DNK,27,B,11h,85,,,2,0,,,,,,DNF,,,0.0712874376,
DNK,27,C,11h,79,,,2,12,,,,,,DNF,,,0.07740237417,
DNK,30,A,11h,47,,,2,10,,,,,,DNF,,,0.1287316081,
DNK,30,B,11h,49,77,28,2,2,6.6,2.08,5.79,5.11,6.3,N,-0.51,0.68,0.3844687947,
DNK,30,C,11h,45,,,2,18,,,,,,DNF,,,0.1475181965,
DNK,34,A,11h,45,73,28,2,2,9.54,2.22,7.92,6.96,6.94,Y,0.98,0.96,0.1041396688,
DNK,34,B,11h,44,71,27,2,1,8.68,2.56,7.48,6.53,6.42,Y,1.06,0.95,0.145202595,
DNK,34,C,11h,44,73,29,2,3,9.9,2.93,8.44,7.2,6.79,Y,1.65,1.24,0.143421868,
DNK,38,A,11h,46,,,2,15,,,,,,DNF,,,0.1700526712,
DNK,38,B,11h,49,79,30,2,4,6.94,1.98,6.34,5.62,6.21,Y,0.13,0.72,0.1757089084,
DNK,38,C,11h,45,79,34,2,4,5.03,1.45,4.76,4.15,4.29,Y,0.47,0.61,0.1207246749,
DNK,39,A,11h,46,74,28,2,1,7.18,2.78,6.75,5.75,6.53,N,0.22,1,0.1197526393,
DNK,39,B,11h,46,,,2,9,,,,,,DNF,,,0.1131554984,
DNK,39,C,11h,46,72,26,2,2,6.63,2.44,6.13,5.57,5.23,Y,0.9,0.56,0.08619372514,
GB,1,A,11h,45,72,27,2,5,9.59,4.6,6.96,6.24,7.33,Y,-0.37,0.72,0.0876147112,
GB,1,B,11h,45,71,26,2,1,11.56,5.45,8.56,7.58,7.56,N,1,0.98,0.1467744747,
GB,1,C,11h,44,69,25,2,16,12.88,7,9.55,7.16,10.75,N,-1.2,2.39,0.1138298202,
GB,2,A,11h,44,68,24,3,13,16.22,6.73,9.01,6.69,9.89,N,-0.88,2.32,0.2255670743,
GB,2,B,11h,44,69,25,3,15,12.84,8.83,7.63,6.67,8.98,N,-1.35,0.96,0.1899657102,
GB,2,C,11h,44,68,24,2,16,10.22,5.25,7.54,5.83,7.94,N,-0.4,1.71,0.09201983399,
GB,25,A,11h,44,68,24,2,4,10.27,5.42,7.2,6.94,8.62,N,-1.42,0.26,0.1731099035,
GB,25,B,11h,44,69,25,2,10,13.49,8.52,7.97,6.54,9.55,N,-1.58,1.43,0.2738054732,
GB,25,C,11h,44,66,22,2,2,11.62,6.47,7.79,6.77,7.15,N,0.64,1.02,0.2622745338,
GB,32,A,11h,45,73,28,2,4,12,7.68,8.93,7.74,8.57,N,0.36,1.19,0.1170998915,
GB,32,B,11h,45,71,26,2,4,13.16,6.8,8.76,7.74,8.65,N,0.11,1.02,0.1851514302,
GB,32,C,11h,45,72,27,2,5,11.25,5.98,8.13,6.85,8.04,N,0.09,1.28,0.1396018069,
GB,39,A,11h,45,74,29,2,2,8.27,2.87,6.61,5.7,6.61,N,0,0.91,0.2258231467,
GB,39,B,11h,45,73,28,2,2,9.66,4.58,7.15,6.08,5.69,N,1.46,1.07,0.1849004949,
GB,39,C,11h,55,74,19,2,1,8.62,2.31,6.5,5.91,6,Y,0.5,0.59,0.2223951014,
GB,44,A,11h,44,80,36,2,7,8.75,2.29,7.19,6.5,6.84,Y,0.35,0.69,0.117397486,
GB,44,B,11h,44,81,37,2,4,6.38,1.79,5.68,5.47,4.25,Y,1.43,0.21,0.1024434389,
GB,44,C,11h,44,77,33,2,5,10.21,3.36,8.32,7.41,8.3,N,0.02,0.91,0.3538560549,
HEH,1,A,11h,45,72,27,2,18,8.77,5.34,6.87,5.63,6.06,N,0.81,1.24,0.07434784169,
HEH,1,B,11h,45,73,28,2,12,8.39,4.26,7.11,6.1,5.64,N,1.47,1.01,0.07142654606,
HEH,1,C,11h,45,70,25,2,14,8.54,3.89,8.47,6.52,7.11,DNF,1.36,1.95,0.09401398536,
HEH,2,A,11h,45,79,34,2,2,6.22,1.5,4.74,4.3,6.41,Y,-1.67,0.44,0.1340863685,
HEH,2,B,11h,45,74,29,2,5,6.88,3.31,,,7.33,N,,,0.2391674933,
HEH,2,C,11h,45,76,31,2,4,8.98,3.45,5.09,3.99,6.13,Y,-1.04,1.1,0.184834707,
HEH,4,A,11h,44,66,22,2,8,8.89,3.73,7.03,6.27,7.62,DNF,-0.59,0.76,0.1591293094,
HEH,4,B,11h,44,66,22,2,5,9.54,4.05,7.93,7.09,6.67,DNF,1.26,0.84,0.1793020778,
HEH,9,A,11h,44,67,23,2,15,14.62,9.49,8.14,7.38,9.35,N,-1.21,0.76,0.1938009557,
HEH,9,B,11h,44,67,23,2,20,13.37,9.83,8.59,7.84,9.74,N,-1.15,0.75,0.1949144558,
HEH,9,C,11h,44,68,24,2,26,16.93,11.08,9.43,8.28,13.75,N,-4.32,1.15,0.3541047145,
HEH,12,A,11h,44,77,33,2,8,8.68,4.23,8.24,5.95,9.65,N,-1.41,2.29,0.288310714,
HEH,12,B,11h,44,79,35,2,9,6.97,1.65,5.17,4.84,6.97,Y,-1.8,0.33,0.1503296784,
HEH,12,C,11h,44,79,35,2,3,7.62,1.8,5.98,5.56,6.65,Y,-0.67,0.42,0.2159061366,
HEH,16,A,11h,44,66,22,2,15,11.32,5.99,8.76,7.97,8.64,N,0.12,0.79,0.1959286901,
HEH,16,B,11h,44,66,22,2,6,9.73,4.9,8.26,6.68,7.32,DNF,0.94,1.58,0.1346756664,
HEH,16,C,11h,44,66,22,2,10,8.69,3.63,7.53,6.53,6.26,DNF,1.27,1,0.1177998354,
HEH,17,A,11h,44,73,29,2,9,12.63,6.92,9.17,8.12,8.45,N,0.72,1.05,0.1616121912,
HEH,17,B,11h,44,66,22,2,1,10.49,5.53,7.82,7.53,8.4,N,-0.58,0.29,0.1300377155,
HEH,17,C,11h,44,72,28,2,10,10.82,6.59,9.13,8.05,7.57,N,1.56,1.08,0.1270119483,
HEH,20,A,11h,44,66,22,2,10,8.24,2.27,6.43,5.69,6.29,Y,0.14,0.74,0.09407302313,
HEH,20,B,11h,44,66,22,2,7,9.35,2,7.82,6.66,7.19,Y,0.63,1.16,0.1380166717,
HEH,20,C,11h,44,66,22,2,8,9.63,4.14,8.53,6.97,8.16,DNF,0.37,1.56,0.09153965337,
HHR,5,A,11h,45,73,28,2,4,10.92,4.88,7.56,6.7,8.09,N,-0.53,0.86,0.1484618907,
HHR,5,B,11h,44,69,25,3,9,11.1,7.56,8.52,6.57,8.03,N,0.49,1.95,0.1132785002,
HHR,5,C,11h,44,69,25,2,12,10.62,6.63,8.95,7.37,10.43,N,-1.48,1.58,0.1808065489,
HHR,17,A,11h,44,74,30,2,9,10.3,4.52,8.4,7.21,9.2,N,-0.8,1.19,0.1267389341,
HHR,17,B,11h,44,74,30,2,9,7.44,2.51,7.08,6.49,7.14,N,-0.06,0.59,,
HHR,17,C,11h,44,76,32,2,11,11.59,4.37,8.88,7.57,9.21,N,-0.33,1.31,0.2236658005,
HHR,18,A,11h,44,66,22,2,18,13.68,8.47,8.34,7.48,7.96,N,0.38,0.86,0.1046633278,
HHR,18,B,11h,44,66,22,2,5,12.08,6.11,8.06,7.26,7.93,N,0.13,0.8,0.1091993577,
HHR,18,C,11h,44,72,28,2,4,10.43,4.85,7.44,6.54,7.49,N,-0.05,0.9,0.1637321085,
HUL,2,A,11h,47,,,2,13,,,,,,DNF,,,0.1675382765,
HUL,2,B,11h,46,,,2,8,,,,,,DNF,,,0.1501923113,
HUL,2,C,11h,44,77,33,2,4,5.87,2.67,4.95,4.66,5.18,Y,-0.23,0.29,0.2661396574,
HUL,3,A,11h,44,71,27,2,3,8.44,3.1,6.8,6.16,7.22,N,-0.42,0.64,0.1366745985,
HUL,3,B,11h,44,77,33,2,6,7.4,2.12,5.59,4.63,6.68,Y,-1.09,0.96,0.2999968786,
HUL,4,A,11h,44,81,37,2,4,4.44,1.04,4.25,4.05,6.02,Y,-1.77,0.2,0.1465106069,
HUL,4,B,11h,45,,,2,10,,,,,,DNF,,,0.2819985556,
HUL,4,C,11h,44,73,29,2,3,7.53,2.84,5.41,4.14,6.81,Y,-1.4,1.27,0.1048698081,
HUL,5,A,11h,52,,,2,7,,,,,,DNF,,,0.1636027203,
